Date;Price(EUR/Ons)
30.12.2011;764.7267
2.01.2012;768.1167
3.01.2012;774.6667
4.01.2012;783.9400
5.01.2012;791.3900
6.01.2012;797.8033
9.01.2012;797.3367
10.01.2012;813.8367
11.01.2012;825.3233
12.01.2012;833.5500
13.01.2012;819.6633
16.01.2012;832.0600
17.01.2012;838.3300
18.01.2012;831.1600
19.01.2012;833.4067
20.01.2012;822.9867
23.01.2012;835.6333
24.01.2012;830.9500
25.01.2012;831.6500
26.01.2012;851.9333
27.01.2012;854.2667
30.01.2012;852.9900
31.01.2012;858.2833
1.02.2012;860.0100
2.02.2012;863.9100
3.02.2012;863.4400
6.02.2012;858.1033
7.02.2012;857.7067
8.02.2012;860.8067
9.02.2012;862.7200
10.02.2012;856.9200
13.02.2012;859.8133
14.02.2012;854.9667
15.02.2012;859.4300
16.02.2012;861.6200
17.02.2012;861.5300
20.02.2012;859.9567
21.02.2012;865.7767
22.02.2012;876.2733
23.02.2012;887.0333
24.02.2012;878.2900
27.02.2012;870.3067
28.02.2012;873.9967
29.02.2012;876.9467
1.03.2012;860.6100
2.03.2012;867.3233
5.03.2012;858.4633
6.03.2012;844.6000
7.03.2012;844.6900
8.03.2012;849.3000
9.03.2012;855.0267
12.03.2012;864.6933
13.03.2012;869.6800
14.03.2012;862.2567
15.03.2012;857.5267
16.03.2012;856.2067
19.03.2012;851.2467
20.03.2012;843.9333
21.03.2012;839.3700
22.03.2012;830.7500
23.03.2012;832.9033
26.03.2012;836.4367
27.03.2012;844.7333
28.03.2012;836.3133
29.03.2012;834.0700
30.03.2012;833.0333
2.04.2012;834.5633
3.04.2012;840.8800
4.04.2012;832.2900
5.04.2012;828.9467
6.04.2012;830.9200
9.04.2012;830.2167
10.04.2012;835.8400
11.04.2012;833.1300
12.04.2012;831.3633
13.04.2012;835.3267
16.04.2012;831.8800
17.04.2012;825.3000
18.04.2012;829.6467
19.04.2012;828.3700
20.04.2012;822.5233
24.04.2012;814.3767
25.04.2012;813.2200
26.04.2012;816.2767
27.04.2012;821.8667
30.04.2012;821.6433
2.05.2012;821.5633
3.05.2012;818.2433
4.05.2012;811.0067
7.05.2012;817.8567
